section,feature_name,display_term,term,normalized_term,canonical_term,matched_surface_terms,search_terms,source,wiki_category,wiki_url,wikidata_id,match_type,document_frequency,total_frequency,confidence_score
abstract,abstract__learning algorithm,learning algorithm,learning algorithm,learning algorithm,machine learning algorithm,learning algorithm; learning algorithms; machine learning algorithm,learning algorithm; learning algorithms; machine learning algorithm,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Machine_learning_algorithm,Q110688486,alias; alias_variant; exact,8,14,0.76
abstract,abstract__gradient descent,gradient descent,gradient descent,gradient descent,gradient descent,gradient descent,gradient descent,Wikidata SPARQL,optimization algorithm,https://en.wikipedia.org/wiki/Gradient_descent,Q1199743,exact,8,10,0.82
abstract,abstract__embeddings,embeddings,embeddings,embeddings,embedding,embedding; embeddings,embedding; embeddings,Wikidata SPARQL,large language model,https://en.wikipedia.org/wiki/Embedding_%28machine_learning%29,Q133284072,alias; exact,7,20,0.72
abstract,abstract__machine translation,machine translation,machine translation,machine translation,machine translation,machine translation,machine translation,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Machine_translation,Q79798,exact,7,13,0.92
abstract,abstract__representation learning,representation learning,representation learning,representation learning,feature learning,feature learning; representation learning,feature learning; representation learning,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Feature_learning,Q17013334,alias; exact,7,12,0.92
abstract,abstract__bias,bias,bias,bias,prediction bias,bias,bias; prediction bias,Wikidata SPARQL,machine learning,,Q139934379,alias,7,8,0.76
abstract,abstract__GPT-3,GPT-3,GPT-3,gpt-3,GPT-3,gpt-3,gpt-3,Wikidata SPARQL,large language model,https://en.wikipedia.org/wiki/GPT-3,Q95726734,variant,6,16,0.82
abstract,abstract__large language models,large language models,large language models,large language models,Large language model,large language models; llms,large language model; large language models; llms,Wikidata SPARQL,language model,https://en.wikipedia.org/wiki/Large_language_model,Q115305900,alias,6,15,0.92
abstract,abstract__transfer learning,transfer learning,transfer learning,transfer learning,transfer learning,inductive transfer; transfer learning,inductive transfer; transfer learning,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Transfer_learning,Q6027324,alias; exact,6,11,0.92
abstract,abstract__deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,Wikidata SPARQL,deep learning,https://en.wikipedia.org/wiki/Deep_reinforcement_learning,Q65079156,exact,6,7,0.92
abstract,abstract__policy gradient,policy gradient,policy gradient,policy gradient,policy-gradient method,policy gradient; policy gradient methods,policy gradient; policy gradient methods; policy-gradient method,Wikidata SPARQL,reinforcement learning,https://en.wikipedia.org/wiki/Policy_gradient_method,Q113840014,alias; variant,5,13,0.92
abstract,abstract__graph neural networks,graph neural networks,graph neural networks,graph neural networks,graph neural network,gnn; graph neural network; graph neural networks,gnn; graph neural network; graph neural networks,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Graph_neural_network,Q107750691,alias; exact; variant,5,12,0.92
abstract,abstract__bleu,bleu,bleu,bleu,BLEU,bleu,bleu,Wikidata SPARQL,machine translation,https://en.wikipedia.org/wiki/BLEU,Q3500773,exact,5,10,0.72
abstract,abstract__few-shot learning,few-shot learning,few-shot learning,few-shot learning,few-shot learning,few-shot learning,few-shot learning,Wikidata SPARQL,machine learning,,Q110797734,variant,5,8,0.92
abstract,abstract__summarization,summarization,summarization,summarization,automatic summarization,summarization; text summarization,automatic summarization; summarization; text summarization,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Automatic_summarization,Q1394144,alias,5,8,0.92
abstract,abstract__supervised learning,supervised learning,supervised learning,supervised learning,supervised learning,supervised learning,supervised learning,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Supervised_learning,Q334384,exact,5,6,0.76
abstract,abstract__diffusion models,diffusion models,diffusion models,diffusion models,diffusion model,diffusion model; diffusion models; diffusion probabilistic models; score-based generative model; text-to-image diffusion model,diffusion model; diffusion models; diffusion probabilistic models; score-based generative model; text-to-image diffusion model,Wikidata SPARQL,transformer machine learning model,https://en.wikipedia.org/wiki/Diffusion_model,Q114617315,alias_variant; exact; variant,4,18,0.92
abstract,abstract__convolutional neural networks,convolutional neural networks,convolutional neural networks,convolutional neural networks,Convolutional neural network,cnn,cellular neural network; cnn; convolutional neural network; convolutional neural networks,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Cellular_neural_network,Q5058375,alias,4,8,0.92
abstract,abstract__dqn,dqn,dqn,dqn,Deep Q-Network,dqn,deep q-network; dqn,Wikidata SPARQL,artificial neural network,,Q20722857,alias,4,8,0.92
abstract,abstract__vision-and-language,vision-and-language,vision-and-language,vision-and-language,Vision and Language,vision and language; vision-and-language,vision and language; vision-and-language,Wikidata SPARQL,artificial intelligence,,Q111467776,exact; variant,3,9,0.92
abstract,abstract__natural language understanding,natural language understanding,natural language understanding,natural language understanding,natural language understanding,natural language understanding; nlu,natural language understanding; nlu,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Natural_language_understanding,Q1078276,alias; exact,3,8,0.92
abstract,abstract__YOLO,YOLO,YOLO,yolo,You Only Look Once,yolo,yolo; you only look once,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/You_Only_Look_Once,Q97732222,alias,3,8,0.72
abstract,abstract__neural machine translation,neural machine translation,neural machine translation,neural machine translation,neural machine translation,neural machine translation; nmt,neural machine translation; nmt,Wikidata SPARQL,machine translation,https://en.wikipedia.org/wiki/Neural_machine_translation,Q25053937,alias; exact,3,7,0.92
abstract,abstract__open-domain question answering,open-domain question answering,open-domain question answering,open-domain question answering,open-domain question answering,open domain qa; open-domain qa; open-domain question answering,open domain qa; open-domain qa; open-domain question answering,Wikidata SPARQL,question answering,,Q121409954,alias; alias_variant; variant,3,6,0.92
abstract,abstract__unsupervised learning,unsupervised learning,unsupervised learning,unsupervised learning,unsupervised learning,unsupervised learning,unsupervised learning,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Unsupervised_learning,Q1152135,exact,3,6,0.92
abstract,abstract__natural language inference,natural language inference,natural language inference,natural language inference,textual entailment,natural language inference; textual entailment,natural language inference; textual entailment,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Textual_entailment,Q6588467,alias; exact,3,6,0.76
abstract,abstract__stochastic gradient descent,stochastic gradient descent,stochastic gradient descent,stochastic gradient descent,stochastic gradient descent,sgd; stochastic gradient descent,sgd; stochastic gradient descent,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Stochastic_gradient_descent,Q7617819,alias; exact,3,6,0.72
abstract,abstract__visual question answering,visual question answering,visual question answering,visual question answering,visual question answering,visual question answering; visual question-answering,visual question answering; visual question-answering,Wikidata SPARQL,question answering,,Q124169176,exact; variant,3,5,0.92
abstract,abstract__roberta,roberta,roberta,roberta,RoBERTa,roberta,roberta,Wikidata SPARQL,language model,,Q85124095,exact,3,5,0.82
abstract,abstract__recurrent neural networks,recurrent neural networks,recurrent neural networks,recurrent neural networks,Recurrent neural network,recurrent neural networks,recurrent neural network; recurrent neural networks,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Recurrent_neural_network,Q1457734,variant,3,4,0.92
abstract,abstract__speech recognition,speech recognition,speech recognition,speech recognition,speech recognition,speech recognition,speech recognition,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Speech_recognition,Q189436,exact,3,4,0.92
abstract,abstract__GPT,GPT,GPT,gpt,generative pre-trained transformer,gpt,generative pre-trained transformer; gpt,Wikidata SPARQL,large language model,https://en.wikipedia.org/wiki/Generative_pre-trained_transformer,Q116777014,alias,3,3,0.92
abstract,abstract__ResNet,ResNet,ResNet,resnet,residual neural network,resnet,residual neural network; resnet,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Residual_neural_network,Q43744058,alias,3,3,0.92
abstract,abstract__sentiment analysis,sentiment analysis,sentiment analysis,sentiment analysis,sentiment analysis,sentiment analysis,sentiment analysis,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Sentiment_analysis,Q2271421,exact,3,3,0.92
abstract,abstract__text generation,text generation,text generation,text generation,natural language generation,text generation,natural language generation; text generation,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Natural_language_generation,Q1513879,alias,3,3,0.92
abstract,abstract__semi-supervised learning,semi-supervised learning,semi-supervised learning,semi-supervised learning,semi-supervised learning,semi-supervised learning,semi-supervised learning,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Semi-supervised_learning,Q1041418,variant,3,3,0.76
abstract,abstract__visual recognition,visual recognition,visual recognition,visual recognition,optical character recognition,visual recognition,optical character recognition; visual recognition,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Optical_character_recognition,Q167555,alias,3,3,0.76
abstract,abstract__self-attention,self-attention,self-attention,self-attention,self-attention,self-attention,self-attention,Wikidata SPARQL,transformer machine learning model,,Q113364820,variant,3,3,0.72
abstract,abstract__image recognition,image recognition,image recognition,image recognition,image recognition,image recognition,image recognition,Wikidata SPARQL,artificial intelligence,https://en.wikipedia.org/wiki/Image_recognition,Q28038508,exact,3,3,0.7
abstract,abstract__model weights,model weights,model weights,model weights,Model weights,model weights,model weights,Wikidata SPARQL,artificial neural network,,Q138819465,exact,3,3,0.7
abstract,abstract__GPT-4,GPT-4,GPT-4,gpt-4,GPT-4,gpt-4,gpt-4,Wikidata SPARQL,large language model,https://en.wikipedia.org/wiki/GPT-4,Q116709136,variant,2,7,0.82
abstract,abstract__PaLM,PaLM,PaLM,palm,PaLM,palm,palm,Wikidata SPARQL,large language model,https://en.wikipedia.org/wiki/PaLM,Q117232125,exact,2,5,0.82
abstract,abstract__entity recognition,entity recognition,entity recognition,entity recognition,named-entity recognition,entity recognition; named entity recognition; ner,entity recognition; named entity recognition; named-entity recognition; ner,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Named-entity_recognition,Q403574,alias; exact,2,5,0.76
abstract,abstract__wavenet,wavenet,wavenet,wavenet,Google Wavenet,wavenet,google wavenet; wavenet,Wikidata SPARQL,generative model,https://en.wikipedia.org/wiki/WaveNet,Q30315025,alias,2,4,0.82
abstract,abstract__autoregressive model,autoregressive model,autoregressive model,autoregressive model,autoregressive model,autoregressive model; autoregressive models,autoregressive model; autoregressive models,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Autoregressive_model,Q2202883,exact; variant,2,3,0.92
abstract,abstract__meta-learning,meta-learning,meta-learning,meta-learning,meta-learning,meta-learning,meta-learning,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Meta-learning_%28computer_science%29,Q6822311,variant,2,3,0.92
abstract,abstract__sentence embeddings,sentence embeddings,sentence embeddings,sentence embeddings,Sentence Embedding,sentence embeddings,sentence embedding; sentence embeddings,Wikidata SPARQL,natural language processing,,Q140197859,alias,2,3,0.92
abstract,abstract__GPT-2,GPT-2,GPT-2,gpt-2,GPT-2,gpt-2,gpt-2,Wikidata SPARQL,large language model,https://en.wikipedia.org/wiki/GPT-2,Q95726727,variant,2,3,0.82
abstract,abstract__text-to-speech,text-to-speech,text-to-speech,text-to-speech,speech synthesis,text-to-speech,speech synthesis; text-to-speech,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Speech_synthesis,Q16346,alias_variant,2,3,0.76
abstract,abstract__activation function,activation function,activation function,activation function,activation function,activation function,activation function,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Activation_function,Q4677469,exact,2,3,0.72
abstract,abstract__xgboost,xgboost,xgboost,xgboost,XGBoost,xgboost,xgboost,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/XGBoost,Q23793561,exact,2,3,0.72
abstract,abstract__tpu,tpu,tpu,tpu,AI accelerator,tpu,ai accelerator; tpu,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Neural_processing_unit,Q24895600,alias,2,3,0.7
abstract,abstract__alexnet,alexnet,alexnet,alexnet,AlexNet,alexnet,alexnet,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/AlexNet,Q28325009,exact,2,2,0.92
abstract,abstract__artificial intelligence,artificial intelligence,artificial intelligence,artificial intelligence,artificial intelligence model,artificial intelligence,artificial intelligence; artificial intelligence model,Wikidata SPARQL,artificial neural network,,Q117349473,alias,2,2,0.92
abstract,abstract__graph convolutional networks,graph convolutional networks,graph convolutional networks,graph convolutional networks,graph convolutional network,graph convolutional networks,graph convolutional network; graph convolutional networks,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Graph_convolutional_network,Q54811238,variant,2,2,0.92
abstract,abstract__masked language modeling,masked language modeling,masked language modeling,masked language modeling,masked language model,masked language modeling,masked language model; masked language modeling,Wikidata SPARQL,language model,,Q24868018,alias,2,2,0.92
abstract,abstract__vision transformer,vision transformer,vision transformer,vision transformer,vision transformer,vision transformer,vision transformer,Wikidata SPARQL,transformer machine learning model,https://en.wikipedia.org/wiki/Vision_transformer,Q107675654,exact,2,2,0.92
abstract,abstract__shapes,shapes,shapes,shapes,"Shapes, Inc.",shapes,"shapes; shapes, inc.",Wikidata SPARQL,deep learning,,Q131682206,alias,2,2,0.72
abstract,abstract__optimization methods,optimization methods,optimization methods,optimization methods,optimization method,optimization methods,optimization method; optimization methods,Wikidata SPARQL,machine learning,,Q112631979,variant,2,2,0.7
conclusion,conclusion__training data,training data,training data,training data,training set,training data; training dataset; training set,training data; training dataset; training set,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Training_set,Q3997298,alias; exact,19,38,0.72
conclusion,conclusion__reinforcement learning,reinforcement learning,reinforcement learning,reinforcement learning,reinforcement learning,reinforcement learning,reinforcement learning,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Reinforcement_learning,Q830687,exact,19,31,0.92
conclusion,conclusion__deep learning,deep learning,deep learning,deep learning,deep learning,deep learning,deep learning,Wikidata SPARQL,artificial intelligence,https://en.wikipedia.org/wiki/Deep_learning,Q197536,exact,15,25,0.72
conclusion,conclusion__attention,attention,attention,attention,attention,attention; attention mechanism,attention; attention mechanism,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Attention_%28machine_learning%29,Q103701642,alias; exact,14,31,0.72
conclusion,conclusion__natural language processing,natural language processing,natural language processing,natural language processing,Natural language processing,natural language processing; nlp,natural language processing; nlp,Wikidata SPARQL,artificial intelligence,https://en.wikipedia.org/wiki/Natural_language_processing,Q30642,alias; exact,13,25,0.92
conclusion,conclusion__transformer,transformer,transformer,transformer,transformer,transformer; transformer model; transformer models; transformers,transformer; transformer model; transformer models; transformers,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Transformer_%28deep_learning%29,Q85810444,alias; alias_variant; exact,11,30,0.92
conclusion,conclusion__bias,bias,bias,bias,prediction bias,bias,bias; prediction bias,Wikidata SPARQL,machine learning,,Q139934379,alias,11,19,0.76
conclusion,conclusion__BERT,BERT,BERT,bert,bidirectional encoder representations from transformers,bert,bert; bidirectional encoder representations from transformers,Wikidata SPARQL,transformer machine learning model,https://en.wikipedia.org/wiki/BERT_%28language_model%29,Q61726893,alias,10,32,0.92
conclusion,conclusion__embeddings,embeddings,embeddings,embeddings,embedding,embedding; embeddings,embedding; embeddings,Wikidata SPARQL,large language model,https://en.wikipedia.org/wiki/Embedding_%28machine_learning%29,Q133284072,alias; exact,10,28,0.72
conclusion,conclusion__machine learning,machine learning,machine learning,machine learning,machine learning,machine learning; statistical learning,machine learning; statistical learning,Wikidata SPARQL,artificial intelligence,https://en.wikipedia.org/wiki/Machine_learning,Q2539,alias; exact,10,13,0.92
conclusion,conclusion__end-to-end,end-to-end,end-to-end,end-to-end,end-to-end reinforcement learning,deep rl; deep-rl; end-to-end,deep rl; deep-rl; end-to-end; end-to-end reinforcement learning,Wikidata SPARQL,reinforcement learning,https://en.wikipedia.org/wiki/End-to-end_reinforcement_learning,Q30589144,alias; alias_variant,9,17,0.92
conclusion,conclusion__object detection,object detection,object detection,object detection,object detection,object detection,object detection,Wikidata SPARQL,computer vision,https://en.wikipedia.org/wiki/Object_detection,Q3045304,exact,9,13,0.92
conclusion,conclusion__large language models,large language models,large language models,large language models,Large language model,large language model; large language models; llm; llms,large language model; large language models; llm; llms,Wikidata SPARQL,language model,https://en.wikipedia.org/wiki/Large_language_model,Q115305900,alias; exact,8,21,0.92
conclusion,conclusion__segmentation,segmentation,segmentation,segmentation,speech segmentation,segmentation,segmentation; speech segmentation,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Speech_segmentation,Q2266173,alias,8,14,0.76
conclusion,conclusion__question answering,question answering,question answering,question answering,question answering,question answering; question-answering,question answering; question-answering,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Question_answering,Q1074173,exact; variant,8,12,0.92
conclusion,conclusion__deep neural networks,deep neural networks,deep neural networks,deep neural networks,deep neural network,deep network; deep networks; deep neural network; deep neural networks,deep network; deep networks; deep neural network; deep neural networks,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Deep_neural_network,Q51289900,alias; alias_variant; exact; variant,7,17,0.92
conclusion,conclusion__supervised learning,supervised learning,supervised learning,supervised learning,supervised learning,supervised learning,supervised learning,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Supervised_learning,Q334384,exact,7,8,0.76
conclusion,conclusion__GPT-3,GPT-3,GPT-3,gpt-3,GPT-3,gpt-3,gpt-3,Wikidata SPARQL,large language model,https://en.wikipedia.org/wiki/GPT-3,Q95726734,variant,6,31,0.82
conclusion,conclusion__machine translation,machine translation,machine translation,machine translation,machine translation,machine translation,machine translation,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Machine_translation,Q79798,exact,6,13,0.92
conclusion,conclusion__transfer learning,transfer learning,transfer learning,transfer learning,transfer learning,transfer learning; transfer-learning,transfer learning; transfer-learning,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Transfer_learning,Q6027324,exact; variant,6,11,0.92
conclusion,conclusion__deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,Wikidata SPARQL,deep learning,https://en.wikipedia.org/wiki/Deep_reinforcement_learning,Q65079156,exact,6,8,0.92
conclusion,conclusion__unsupervised learning,unsupervised learning,unsupervised learning,unsupervised learning,unsupervised learning,unsupervised learning,unsupervised learning,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Unsupervised_learning,Q1152135,exact,6,7,0.92
conclusion,conclusion__dqn,dqn,dqn,dqn,Deep Q-Network,dqn,deep q-network; dqn,Wikidata SPARQL,artificial neural network,,Q20722857,alias,5,19,0.92
conclusion,conclusion__few-shot learning,few-shot learning,few-shot learning,few-shot learning,few-shot learning,few-shot learning,few-shot learning,Wikidata SPARQL,machine learning,,Q110797734,variant,5,13,0.92
conclusion,conclusion__learning algorithm,learning algorithm,learning algorithm,learning algorithm,machine learning algorithm,learning algorithm; learning algorithms,learning algorithm; learning algorithms; machine learning algorithm,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Machine_learning_algorithm,Q110688486,alias; alias_variant,5,13,0.76
conclusion,conclusion__distillation,distillation,distillation,distillation,knowledge distillation,distillation; knowledge distillation,distillation; knowledge distillation,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Knowledge_distillation,Q74253442,alias; exact,5,9,0.92
conclusion,conclusion__summarization,summarization,summarization,summarization,automatic summarization,summarization; text summarization,automatic summarization; summarization; text summarization,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Automatic_summarization,Q1394144,alias,5,8,0.92
conclusion,conclusion__text generation,text generation,text generation,text generation,natural language generation,natural language generation; nlg; text generation,natural language generation; nlg; text generation,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Natural_language_generation,Q1513879,alias; exact,5,8,0.92
conclusion,conclusion__representation learning,representation learning,representation learning,representation learning,feature learning,feature learning; representation learning,feature learning; representation learning,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Feature_learning,Q17013334,alias; exact,5,7,0.92
conclusion,conclusion__gradient descent,gradient descent,gradient descent,gradient descent,gradient descent,gradient descent,gradient descent,Wikidata SPARQL,optimization algorithm,https://en.wikipedia.org/wiki/Gradient_descent,Q1199743,exact,5,6,0.82
conclusion,conclusion__self-supervised learning,self-supervised learning,self-supervised learning,self-supervised learning,self-supervised learning,self-supervised learning,self-supervised learning,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Self-supervised_learning,Q77562367,variant,5,5,0.92
conclusion,conclusion__diffusion models,diffusion models,diffusion models,diffusion models,diffusion model,diffusion model; diffusion models; dit; text-to-image diffusion model,diffusion model; diffusion models; dit; text-to-image diffusion model,Wikidata SPARQL,transformer machine learning model,https://en.wikipedia.org/wiki/Diffusion_model,Q114617315,alias; alias_variant; exact; variant,4,16,0.92
conclusion,conclusion__speech recognition,speech recognition,speech recognition,speech recognition,speech recognition,asr; speech recognition,asr; speech recognition,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Speech_recognition,Q189436,alias; exact,4,11,0.92
conclusion,conclusion__recurrent neural networks,recurrent neural networks,recurrent neural networks,recurrent neural networks,Recurrent neural network,recurrent neural networks; rnn,recurrent neural network; recurrent neural networks; rnn,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Recurrent_neural_network,Q1457734,alias; variant,4,8,0.92
conclusion,conclusion__convolutional neural networks,convolutional neural networks,convolutional neural networks,convolutional neural networks,Convolutional neural network,cnn,cellular neural network; cnn; convolutional neural network; convolutional neural networks,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Cellular_neural_network,Q5058375,alias,4,7,0.92
conclusion,conclusion__policy gradient,policy gradient,policy gradient,policy gradient,policy-gradient method,policy gradient; policy gradient methods,policy gradient; policy gradient methods; policy-gradient method,Wikidata SPARQL,reinforcement learning,https://en.wikipedia.org/wiki/Policy_gradient_method,Q113840014,alias; variant,4,7,0.92
conclusion,conclusion__aggregation,aggregation,aggregation,aggregation,aggregation,aggregation,aggregation,Wikidata SPARQL,computational linguistics,https://en.wikipedia.org/wiki/Aggregation_%28linguistics%29,Q4692263,exact,4,7,0.82
conclusion,conclusion__roberta,roberta,roberta,roberta,RoBERTa,roberta,roberta,Wikidata SPARQL,language model,,Q85124095,exact,4,5,0.82
conclusion,conclusion__deep learning models,deep learning models,deep learning models,deep learning models,deep learning model,deep learning model; deep learning models,deep learning model; deep learning models,Wikidata SPARQL,deep learning,,Q113364611,exact; variant,4,5,0.72
conclusion,conclusion__semi-supervised learning,semi-supervised learning,semi-supervised learning,semi-supervised learning,semi-supervised learning,semi-supervised learning,semi-supervised learning,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Semi-supervised_learning,Q1041418,variant,4,4,0.76
conclusion,conclusion__self-attention,self-attention,self-attention,self-attention,self-attention,self-attention,self-attention,Wikidata SPARQL,transformer machine learning model,,Q113364820,variant,4,4,0.72
conclusion,conclusion__GPT-2,GPT-2,GPT-2,gpt-2,GPT-2,gpt-2,gpt-2,Wikidata SPARQL,large language model,https://en.wikipedia.org/wiki/GPT-2,Q95726727,variant,3,11,0.82
conclusion,conclusion__bleu,bleu,bleu,bleu,BLEU,bleu,bleu,Wikidata SPARQL,machine translation,https://en.wikipedia.org/wiki/BLEU,Q3500773,exact,3,10,0.72
conclusion,conclusion__neural machine translation,neural machine translation,neural machine translation,neural machine translation,neural machine translation,neural machine translation; nmt,neural machine translation; nmt,Wikidata SPARQL,machine translation,https://en.wikipedia.org/wiki/Neural_machine_translation,Q25053937,alias; exact,3,7,0.92
conclusion,conclusion__sgd,sgd,sgd,sgd,stochastic gradient descent,sgd; stochastic gradient descent,sgd; stochastic gradient descent,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Stochastic_gradient_descent,Q7617819,alias; exact,3,7,0.72
conclusion,conclusion__gnn,gnn,gnn,gnn,graph neural network,gnn,gnn; graph neural network,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Graph_neural_network,Q107750691,alias,3,6,0.92
conclusion,conclusion__GPT,GPT,GPT,gpt,generative pre-trained transformer,gpt,generative pre-trained transformer; gpt,Wikidata SPARQL,large language model,https://en.wikipedia.org/wiki/Generative_pre-trained_transformer,Q116777014,alias,3,3,0.92
