display_term,term,normalized_term,canonical_term,matched_surface_terms,search_terms,source,reason,added_by,wiki_category,wiki_url,wikidata_id,match_type,document_frequency,total_frequency,confidence_score
MLP,MLP,mlp,multilayer perceptron,mlp; multi layer perceptron; multi-layer perceptron; multilayer perceptron,mlp; multi layer perceptron; multi-layer perceptron; multilayer perceptron,wiki,matched official Wiki dictionary after technical filtering,,data mining,https://en.wikipedia.org/wiki/Multilayer_perceptron,Q2991667,alias; alias_variant; exact,29,139,0.72
backpropagation,backpropagation,backpropagation,backpropagation,back-propagation; backprop; backpropagation,back-propagation; backprop; backpropagation,wiki,matched official Wiki dictionary after technical filtering,,optimization algorithm,https://en.wikipedia.org/wiki/Backpropagation,Q798503,alias; alias_variant; exact,29,119,0.82
representation learning,representation learning,representation learning,feature learning,feature learning; representation learning,feature learning; representation learning,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Feature_learning,Q17013334,alias; exact,28,162,0.92
ResNet,ResNet,resnet,residual neural network,resnet,residual neural network; resnet,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/Residual_neural_network,Q43744058,alias,28,152,0.92
activation function,activation function,activation function,activation function,activation function,activation function,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/Activation_function,Q4677469,exact,27,61,0.72
GPT,GPT,gpt,generative pre-trained transformer,generative pre-trained transformer; generative pretrained transformer; gpt,generative pre-trained transformer; generative pretrained transformer; gpt,wiki,matched official Wiki dictionary after technical filtering,,large language model,https://en.wikipedia.org/wiki/Generative_pre-trained_transformer,Q116777014,alias; variant,25,117,0.92
learning algorithms,learning algorithms,learning algorithms,machine learning algorithm,learning algorithm; learning algorithms; machine learning algorithm; machine learning algorithms,learning algorithm; learning algorithms; machine learning algorithm; machine learning algorithms,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Machine_learning_algorithm,Q110688486,alias; alias_variant; exact; variant,25,103,0.76
adam optimizer,adam optimizer,adam optimizer,Adam optimizer,adam optimizer,adam optimizer,wiki,matched official Wiki dictionary after technical filtering,,optimization algorithm,https://en.wikipedia.org/wiki/Adam_%28optimization_algorithm%29,Q29410287,exact,23,31,0.82
unsupervised learning,unsupervised learning,unsupervised learning,unsupervised learning,unsupervised learning,unsupervised learning,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Unsupervised_learning,Q1152135,exact,22,51,0.92
transfer learning,transfer learning,transfer learning,transfer learning,inductive transfer; transfer learning; transfer-learning,inductive transfer; transfer learning; transfer-learning,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Transfer_learning,Q6027324,alias; exact; variant,21,128,0.92
word embeddings,word embeddings,word embeddings,word embedding,word embedding; word embeddings; word vector; word vector representation,word embedding; word embeddings; word vector; word vector representation,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Word_embedding,Q18395344,alias; exact,21,87,0.72
bag-of-words,bag-of-words,bag-of-words,bag-of-words model,bag of words; bag-of-words; bag-of-words model; bow,bag of words; bag-of-words; bag-of-words model; bow,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Bag-of-words_model,Q3460803,alias; alias_variant; variant,21,83,0.82
autoencoders,autoencoders,autoencoders,autoencoder,autoencoder; autoencoders,autoencoder; autoencoders,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/Autoencoder,Q786435,alias; exact,21,77,0.92
perplexity,perplexity,perplexity,Perplexity,perplexity,perplexity,wiki,matched official Wiki dictionary after technical filtering,,large language model,,Q123403392,exact,21,55,0.82
roberta,roberta,roberta,RoBERTa,roberta,roberta,wiki,matched official Wiki dictionary after technical filtering,,language model,,Q85124095,exact,20,104,0.82
aggregation,aggregation,aggregation,aggregation,aggregation; sentence segmentation,aggregation; sentence segmentation,wiki,matched official Wiki dictionary after technical filtering,,computational linguistics,https://en.wikipedia.org/wiki/Aggregation_%28linguistics%29,Q4692263,alias; exact,20,75,0.82
natural language inference,natural language inference,natural language inference,textual entailment,natural language inference; textual entailment,natural language inference; textual entailment,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Textual_entailment,Q6588467,alias; exact,19,75,0.76
semi-supervised learning,semi-supervised learning,semi-supervised learning,semi-supervised learning,semi-supervised learning; semisupervised learning,semi-supervised learning; semisupervised learning,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Semi-supervised_learning,Q1041418,alias; variant,19,54,0.76
parsing,parsing,parsing,parsing,parsing,parsing,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Parsing,Q194152,exact,19,32,0.76
summarization,summarization,summarization,automatic summarization,automatic summarization; summarization; text summarization; text-summarization,automatic summarization; summarization; text summarization; text-summarization,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Automatic_summarization,Q1394144,alias; alias_variant; exact,18,195,0.92
alexnet,alexnet,alexnet,AlexNet,alexnet,alexnet,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/AlexNet,Q28325009,exact,18,59,0.92
large language models,large language models,large language models,Large language model,large language model; large language models; llm; llms,large language model; large language models; llm; llms,wiki,matched official Wiki dictionary after technical filtering,,language model,https://en.wikipedia.org/wiki/Large_language_model,Q115305900,alias; exact,17,226,0.92
bleu,bleu,bleu,BLEU,bilingual evaluation understudy; bleu,bilingual evaluation understudy; bleu,wiki,matched official Wiki dictionary after technical filtering,,machine translation,https://en.wikipedia.org/wiki/BLEU,Q3500773,alias; exact,17,162,0.72
distillation,distillation,distillation,knowledge distillation,distillation; knowledge distillation; model distillation,distillation; knowledge distillation; model distillation,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Knowledge_distillation,Q74253442,alias; exact,17,130,0.92
sentiment analysis,sentiment analysis,sentiment analysis,sentiment analysis,opinion mining; sentiment analysis; sentiment-analysis,opinion mining; sentiment analysis; sentiment-analysis,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Sentiment_analysis,Q2271421,alias; exact; variant,17,57,0.92
tokenization,tokenization,tokenization,tokenization,tokenization,tokenization,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Tokenization_%28lexical_analysis%29,Q2438971,exact,17,41,0.92
GPT-3,GPT-3,gpt-3,GPT-3,gpt 3; gpt-3; gpt3,gpt 3; gpt-3; gpt3,wiki,matched official Wiki dictionary after technical filtering,,large language model,https://en.wikipedia.org/wiki/GPT-3,Q95726734,alias; exact; variant,16,541,0.82
dqn,dqn,dqn,Deep Q-Network,deep q network; deep q networks; deep q-network; dqn,deep q network; deep q networks; deep q-network; dqn,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,,Q20722857,alias; exact; variant,14,254,0.92
text generation,text generation,text generation,natural language generation,natural language generation; nlg; text generation; text-generation,natural language generation; nlg; text generation; text-generation,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Natural_language_generation,Q1513879,alias; alias_variant; exact,14,92,0.92
svm,svm,svm,support vector machine,support vector machines; svm; svms,support vector machine; support vector machines; svm; svms,wiki,matched official Wiki dictionary after technical filtering,,classification algorithm,https://en.wikipedia.org/wiki/Support_vector_machine,Q282453,alias,14,75,0.92
mrr,mrr,mrr,mean reciprocal rank,mean reciprocal rank; mrr,mean reciprocal rank; mrr,wiki,matched official Wiki dictionary after technical filtering,,information retrieval,https://en.wikipedia.org/wiki/Mean_reciprocal_rank,Q3853443,alias; exact,14,72,0.72
tpu,tpu,tpu,AI accelerator,tpu,ai accelerator; tpu,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/Neural_processing_unit,Q24895600,alias,14,52,0.7
deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,wiki,matched official Wiki dictionary after technical filtering,,deep learning,https://en.wikipedia.org/wiki/Deep_reinforcement_learning,Q65079156,exact,14,49,0.92
natural language understanding,natural language understanding,natural language understanding,natural language understanding,natural language understanding; nlu,natural language understanding; nlu,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Natural_language_understanding,Q1078276,alias; exact,14,46,0.92
shapes,shapes,shapes,"Shapes, Inc.",shapes,"shapes; shapes, inc.",wiki,matched official Wiki dictionary after technical filtering,,deep learning,,Q131682206,alias,14,37,0.72
tokenizer,tokenizer,tokenizer,tokenizer,tokenizer,tokenizer,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,,Q137216276,exact,14,32,0.72
GPT-2,GPT-2,gpt-2,GPT-2,gpt-2,gpt-2,wiki,matched official Wiki dictionary after technical filtering,,large language model,https://en.wikipedia.org/wiki/GPT-2,Q95726727,variant,13,135,0.82
few-shot learning,few-shot learning,few-shot learning,few-shot learning,few-shot learning,few-shot learning,wiki,matched official Wiki dictionary after technical filtering,,machine learning,,Q110797734,variant,13,98,0.92
masked language modeling,masked language modeling,masked language modeling,masked language model,masked language model; masked language modeling; masked language models,masked language model; masked language modeling; masked language models,wiki,matched official Wiki dictionary after technical filtering,,language model,,Q24868018,alias; exact; variant,13,52,0.92
image recognition,image recognition,image recognition,image recognition,image recognition,image recognition,wiki,matched official Wiki dictionary after technical filtering,,artificial intelligence,https://en.wikipedia.org/wiki/Image_recognition,Q28038508,exact,13,28,0.7
multi-head attention,multi-head attention,multi-head attention,multi-head attention,multi head attention; multi-head attention,multi head attention; multi-head attention,wiki,matched official Wiki dictionary after technical filtering,,transformer machine learning model,,Q108750000,exact; variant,13,25,0.7
model weights,model weights,model weights,Model weights,model weights,model weights,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,,Q138819465,exact,13,19,0.7
policy gradient,policy gradient,policy gradient,policy-gradient method,policy gradient; policy gradient method; policy gradient methods; policy-gradient,policy gradient; policy gradient method; policy gradient methods; policy-gradient; policy-gradient method,wiki,matched official Wiki dictionary after technical filtering,,reinforcement learning,https://en.wikipedia.org/wiki/Policy_gradient_method,Q113840014,alias; alias_variant; exact; variant,12,146,0.92
self-supervised learning,self-supervised learning,self-supervised learning,self-supervised learning,self-supervised learning; ssl,self-supervised learning; ssl,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Self-supervised_learning,Q77562367,alias; variant,12,43,0.92
visual recognition,visual recognition,visual recognition,optical character recognition,optical character recognition; visual recognition,optical character recognition; visual recognition,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Optical_character_recognition,Q167555,alias; exact,12,24,0.76
machine learning models,machine learning models,machine learning models,machine learning model,machine learning model; machine learning models; ml models,machine learning model; machine learning models; ml models,wiki,matched official Wiki dictionary after technical filtering,,machine learning,,Q115215420,alias_variant; exact; variant,12,23,0.76
supervised fine-tuning,supervised fine-tuning,supervised fine-tuning,supervised fine-tuning,sft; supervised fine-tuning; supervised finetuning,sft; supervised fine-tuning; supervised finetuning,wiki,matched official Wiki dictionary after technical filtering,,large language model,,Q118129371,alias; variant,11,91,0.72
GloVe,GloVe,glove,GloVe,glove,glove,wiki,matched official Wiki dictionary after technical filtering,,word embedding,https://en.wikipedia.org/wiki/GloVe,Q22826110,exact,11,48,0.92
seq2seq,seq2seq,seq2seq,sequence-to-sequence learning,seq2seq; sequence-to-sequence learning,seq2seq; sequence-to-sequence learning,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Seq2seq,Q41589189,alias; variant,11,47,0.92
multi-task learning,multi-task learning,multi-task learning,multi-task learning,mtl; multi-task learning; multitask learning,mtl; multi-task learning; multitask learning,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Multi-task_learning,Q6934509,alias; variant,11,43,0.92
Word2Vec,Word2Vec,word2vec,Word2Vec,word2vec,word2vec,wiki,matched official Wiki dictionary after technical filtering,,word embedding,https://en.wikipedia.org/wiki/Word2vec,Q22673982,exact,11,38,0.92
inspection,inspection,inspection,browsing,browsing; inspection,browsing; inspection,wiki,matched official Wiki dictionary after technical filtering,,information retrieval,https://en.wikipedia.org/wiki/Browsing,Q516508,alias; exact,11,30,0.92
search engine,search engine,search engine,search engine,search engine,search engine,wiki,matched official Wiki dictionary after technical filtering,,information retrieval,https://en.wikipedia.org/wiki/Search_engine_%28computing%29,Q19541,exact,11,17,0.72
softmax function,softmax function,softmax function,softmax function,softmax function,softmax function,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Softmax_function,Q7554146,exact,11,15,0.72
sentence embeddings,sentence embeddings,sentence embeddings,Sentence Embedding,sentence embedding; sentence embeddings; sentence representation; text embedding; text-embedding,sentence embedding; sentence embeddings; sentence representation; text embedding; text-embedding,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,,Q140197859,alias; alias_variant; exact,10,130,0.92
gcn,gcn,gcn,graph convolutional network,gcn; graph convolutional network; graph convolutional networks,gcn; graph convolutional network; graph convolutional networks,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/Graph_convolutional_network,Q54811238,alias; exact; variant,10,96,0.92
label smoothing,label smoothing,label smoothing,label smoothing,label smoothing; label-smoothing,label smoothing; label-smoothing,wiki,matched official Wiki dictionary after technical filtering,,machine learning,,Q130364031,exact; variant,10,35,0.76
neural network models,neural network models,neural network models,neural network model,neural network model; neural network models,neural network model; neural network models,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,,Q110404576,exact; variant,10,25,0.92
deep learning models,deep learning models,deep learning models,deep learning model,deep learning model; deep learning models,deep learning model; deep learning models,wiki,matched official Wiki dictionary after technical filtering,,deep learning,,Q113364611,exact; variant,10,22,0.72
PaLM,PaLM,palm,PaLM,palm,palm,wiki,matched official Wiki dictionary after technical filtering,,large language model,https://en.wikipedia.org/wiki/PaLM,Q117232125,exact,9,298,0.82
vision and language,vision and language,vision and language,Vision and Language,vision and language; vision-and-language,vision and language; vision-and-language,wiki,matched official Wiki dictionary after technical filtering,,artificial intelligence,,Q111467776,exact; variant,9,78,0.92
neural machine translation,neural machine translation,neural machine translation,neural machine translation,neural machine translation; nmt,neural machine translation; nmt,wiki,matched official Wiki dictionary after technical filtering,,machine translation,https://en.wikipedia.org/wiki/Neural_machine_translation,Q25053937,alias; exact,9,63,0.92
autoregressive models,autoregressive models,autoregressive models,autoregressive model,ar models; autoregressive model; autoregressive models,ar models; autoregressive model; autoregressive models,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/Autoregressive_model,Q2202883,alias_variant; exact; variant,9,39,0.92
online learning,online learning,online learning,online machine learning,adaptive learning; online learning,adaptive learning; online learning; online machine learning,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Online_machine_learning,Q7094097,alias,9,38,0.92
optimization methods,optimization methods,optimization methods,optimization method,optimization method; optimization methods; optimization technique; optimization techniques,optimization method; optimization methods; optimization technique; optimization techniques,wiki,matched official Wiki dictionary after technical filtering,,machine learning,,Q112631979,alias; alias_variant; exact; variant,9,35,0.7
artificial intelligence,artificial intelligence,artificial intelligence,artificial intelligence model,ai model; ai models; artificial intelligence; artificial intelligence model,ai model; ai models; artificial intelligence; artificial intelligence model,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,,Q117349473,alias; alias_variant; exact,9,23,0.92
domain adaptation,domain adaptation,domain adaptation,Domain Adaptation,domain adaptation,domain adaptation,wiki,matched official Wiki dictionary after technical filtering,,reinforcement learning,https://en.wikipedia.org/wiki/Domain_adaptation,Q19246213,exact,9,10,0.92
xlnet,xlnet,xlnet,XLNet,xlnet,xlnet,wiki,matched official Wiki dictionary after technical filtering,,language model,,Q107031747,exact,8,84,0.82
feedforward neural network,feedforward neural network,feedforward neural network,feedforward neural network,feed-forward neural network; feedforward neural network; feedforward neural networks; ffn,feed-forward neural network; feedforward neural network; feedforward neural networks; ffn,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/Feedforward_neural_network,Q5441227,alias; alias_variant; exact; variant,8,80,0.92
open-domain question answering,open-domain question answering,open-domain question answering,open-domain question answering,open domain qa; open-domain qa; open-domain question answering; open-domain question-answering,open domain qa; open-domain qa; open-domain question answering; open-domain question-answering,wiki,matched official Wiki dictionary after technical filtering,,question answering,,Q121409954,alias; alias_variant; variant,8,58,0.92
visual question answering,visual question answering,visual question answering,visual question answering,visual question answering; visual question-answering,visual question answering; visual question-answering,wiki,matched official Wiki dictionary after technical filtering,,question answering,,Q124169176,exact; variant,8,34,0.92
reg,reg,reg,referring expression generation,reg,referring expression generation; reg,wiki,matched official Wiki dictionary after technical filtering,,computational linguistics,https://en.wikipedia.org/wiki/Referring_expression_generation,Q7307185,alias,8,28,0.82
part-of-speech tagging,part-of-speech tagging,part-of-speech tagging,part-of-speech tagging,part-of-speech tagging; pos tagging,part-of-speech tagging; pos tagging,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Part-of-speech_tagging,Q1271424,alias; variant,8,21,0.92
diffusion models,diffusion models,diffusion models,diffusion model,diffusion model; diffusion models; diffusion probabilistic model; diffusion probabilistic models; diffusion transformer; dit; score-based generative model; text-to-image diffusion model,diffusion model; diffusion models; diffusion probabilistic model; diffusion probabilistic models; diffusion transformer; dit; score-based generative model; text-to-image diffusion model,wiki,matched official Wiki dictionary after technical filtering,,transformer machine learning model,https://en.wikipedia.org/wiki/Diffusion_model,Q114617315,alias; alias_variant; exact; variant,7,196,0.92
graph neural networks,graph neural networks,graph neural networks,graph neural network,gnn; graph neural network; graph neural networks,gnn; graph neural network; graph neural networks,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/Graph_neural_network,Q107750691,alias; exact; variant,7,164,0.92
entity recognition,entity recognition,entity recognition,named-entity recognition,entity extraction; entity recognition; named entity extraction; named entity recognition; ner,entity extraction; entity recognition; named entity extraction; named entity recognition; named-entity recognition; ner,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Named-entity_recognition,Q403574,alias; exact,7,78,0.76
bloom,bloom,bloom,BLOOM,bloom,bloom,wiki,matched official Wiki dictionary after technical filtering,,large language model,https://en.wikipedia.org/wiki/BLOOM_%28language_model%29,Q113013356,exact,7,50,0.82
albert,albert,albert,ALBERT,albert,albert,wiki,matched official Wiki dictionary after technical filtering,,language model,,Q107031872,exact,7,43,0.82
image segmentation,image segmentation,image segmentation,image segmentation,image segmentation,image segmentation,wiki,matched official Wiki dictionary after technical filtering,,computer vision,https://en.wikipedia.org/wiki/Image_segmentation,Q56933,exact,7,7,0.92
stemming,stemming,stemming,stemming,stemming,stemming,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Stemming,Q1416732,exact,7,7,0.76
meta-learning,meta-learning,meta-learning,meta-learning,learning to learn; meta-learning,learning to learn; meta-learning,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Meta-learning_%28computer_science%29,Q6822311,alias; variant,6,52,0.92
auc,auc,auc,receiver operating characteristic,auc; roc; roc curve,auc; receiver operating characteristic; roc; roc curve,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Receiver_operating_characteristic,Q327120,alias,6,25,0.72
pathways,pathways,pathways,Pathways,pathways,pathways,wiki,matched official Wiki dictionary after technical filtering,,machine learning,,Q111460849,exact,6,24,0.92
one-shot learning,one-shot learning,one-shot learning,one-shot learning,one-shot learning,one-shot learning,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/One-shot_learning_%28computer_vision%29,Q7092335,variant,6,20,0.92
deep generative models,deep generative models,deep generative models,deep generative model,deep generative model; deep generative models,deep generative model; deep generative models,wiki,matched official Wiki dictionary after technical filtering,,generative model,,Q105342324,exact; variant,6,13,0.92
sift,sift,sift,scale-invariant feature transform,sift,scale-invariant feature transform; sift,wiki,matched official Wiki dictionary after technical filtering,,computer vision,https://en.wikipedia.org/wiki/Scale-invariant_feature_transform,Q767770,alias,6,13,0.72
scikit-learn,scikit-learn,scikit-learn,scikit-learn,scikit-learn,scikit-learn,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Scikit-learn,Q1026367,variant,6,12,0.72
l-bfgs,l-bfgs,l-bfgs,Limited-memory BFGS,l-bfgs; lbfgs,l-bfgs; lbfgs; limited-memory bfgs,wiki,matched official Wiki dictionary after technical filtering,,optimization algorithm,https://en.wikipedia.org/wiki/Limited-memory_BFGS,Q6549489,alias; alias_variant,6,9,0.82
YOLO,YOLO,yolo,You Only Look Once,yolo,yolo; you only look once,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/You_Only_Look_Once,Q97732222,alias,5,140,0.72
