feature_name,section_original,section_mapped,term,canonical_term,display_term,term_type,ngram_len,pos_pattern,is_generic,role_prior,source_corpus,document_frequency,total_frequency,matched_surface_terms,search_terms,wiki_url,wikidata_id,notes
conclusion__BERT,conclusion,conclusion,BERT,bidirectional encoder representations from transformers,BERT,model,unigram,NN,false,core_method,both,10,32,bert,bert; bidirectional encoder representations from transformers,https://en.wikipedia.org/wiki/BERT_%28language_model%29,Q61726893,pos=fallback
conclusion__large language models,conclusion,conclusion,large language models,Large language model,large language models,model,trigram,JJ NN NN,false,core_method,both,10,21,large language model; large language models; llm; llms,large language model; large language models; llm; llms,https://en.wikipedia.org/wiki/Large_language_model,Q115305900,pos=fallback
conclusion__machine learning,conclusion,conclusion,machine learning,machine learning,machine learning,other,bigram,NN NN,false,other,both,10,13,machine learning; statistical learning,machine learning; statistical learning,https://en.wikipedia.org/wiki/Machine_learning,Q2539,pos=fallback
conclusion__learning algorithm,conclusion,conclusion,learning algorithm,machine learning algorithm,learning algorithm,method,bigram,NN NN,false,core_method,both,9,13,learning algorithm; learning algorithms,learning algorithm; learning algorithms; machine learning algorithm,https://en.wikipedia.org/wiki/Machine_learning_algorithm,Q110688486,pos=fallback
conclusion__object detection,conclusion,conclusion,object detection,object detection,object detection,task,bigram,NN NN,false,task,initial_corpus,9,13,object detection,object detection,https://en.wikipedia.org/wiki/Object_detection,Q3045304,pos=fallback
conclusion__question answering,conclusion,conclusion,question answering,question answering,question answering,task,bigram,NN NN,false,task,both,9,12,question answering; question-answering,question answering; question-answering,https://en.wikipedia.org/wiki/Question_answering,Q1074173,pos=fallback
conclusion__segmentation,conclusion,conclusion,segmentation,speech segmentation,segmentation,task,unigram,NN,false,task,initial_corpus,8,14,segmentation,segmentation; speech segmentation,https://en.wikipedia.org/wiki/Speech_segmentation,Q2266173,pos=fallback
conclusion__transfer learning,conclusion,conclusion,transfer learning,transfer learning,transfer learning,method,bigram,NN NN,false,core_method,both,7,11,transfer learning; transfer-learning,transfer learning; transfer-learning,https://en.wikipedia.org/wiki/Transfer_learning,Q6027324,pos=fallback
conclusion__recurrent neural networks,conclusion,conclusion,recurrent neural networks,Recurrent neural network,recurrent neural networks,model,trigram,JJ JJ NN,false,core_method,both,7,8,recurrent neural networks; rnn,recurrent neural network; recurrent neural networks; rnn,https://en.wikipedia.org/wiki/Recurrent_neural_network,Q1457734,pos=fallback
conclusion__supervised learning,conclusion,conclusion,supervised learning,supervised learning,supervised learning,method,bigram,JJ NN,false,core_method,both,7,8,supervised learning,supervised learning,https://en.wikipedia.org/wiki/Supervised_learning,Q334384,pos=fallback
conclusion__representation learning,conclusion,conclusion,representation learning,feature learning,representation learning,method,bigram,NN NN,false,core_method,both,7,7,feature learning; representation learning,feature learning; representation learning,https://en.wikipedia.org/wiki/Feature_learning,Q17013334,pos=fallback
conclusion__GPT-3,conclusion,conclusion,GPT-3,GPT-3,GPT-3,model,unigram,CD,false,core_method,both,6,31,gpt-3,gpt-3,https://en.wikipedia.org/wiki/GPT-3,Q95726734,pos=fallback
conclusion__machine translation,conclusion,conclusion,machine translation,machine translation,machine translation,task,bigram,NN NN,false,task,both,6,13,machine translation,machine translation,https://en.wikipedia.org/wiki/Machine_translation,Q79798,pos=fallback
conclusion__convolutional neural networks,conclusion,conclusion,convolutional neural networks,Convolutional neural network,convolutional neural networks,model,trigram,JJ JJ NN,false,core_method,both,6,12,cnn,cellular neural network; cnn; convolutional neural network; convolutional neural networks,https://en.wikipedia.org/wiki/Cellular_neural_network,Q5058375,pos=fallback
conclusion__speech recognition,conclusion,conclusion,speech recognition,speech recognition,speech recognition,task,bigram,NN NN,false,task,round2_corpus,6,11,asr; speech recognition,asr; speech recognition,https://en.wikipedia.org/wiki/Speech_recognition,Q189436,pos=fallback
conclusion__deep reinforcement learning,conclusion,conclusion,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,other,trigram,JJ NN NN,false,other,both,6,8,deep reinforcement learning,deep reinforcement learning,https://en.wikipedia.org/wiki/Deep_reinforcement_learning,Q65079156,pos=fallback
conclusion__text generation,conclusion,conclusion,text generation,natural language generation,text generation,task,bigram,NN NN,false,task,both,6,8,natural language generation; nlg; text generation,natural language generation; nlg; text generation,https://en.wikipedia.org/wiki/Natural_language_generation,Q1513879,pos=fallback
conclusion__unsupervised learning,conclusion,conclusion,unsupervised learning,unsupervised learning,unsupervised learning,method,bigram,JJ NN,false,core_method,both,6,7,unsupervised learning,unsupervised learning,https://en.wikipedia.org/wiki/Unsupervised_learning,Q1152135,pos=fallback
conclusion__dqn,conclusion,conclusion,dqn,Deep Q-Network,dqn,model,unigram,NN,false,core_method,both,5,19,dqn,deep q-network; dqn,nan,Q20722857,pos=fallback
conclusion__diffusion models,conclusion,conclusion,diffusion models,diffusion model,diffusion models,method,bigram,NN NN,false,core_method,round2_corpus,5,16,diffusion model; diffusion models; dit; text-to-image diffusion model,diffusion model; diffusion models; dit; text-to-image diffusion model,https://en.wikipedia.org/wiki/Diffusion_model,Q114617315,pos=fallback
conclusion__few-shot learning,conclusion,conclusion,few-shot learning,few-shot learning,few-shot learning,other,bigram,NN NN,false,other,both,5,13,few-shot learning,few-shot learning,nan,Q110797734,pos=fallback
conclusion__distillation,conclusion,conclusion,distillation,knowledge distillation,distillation,method,unigram,NN,false,core_method,both,5,9,distillation; knowledge distillation,distillation; knowledge distillation,https://en.wikipedia.org/wiki/Knowledge_distillation,Q74253442,pos=fallback
conclusion__summarization,conclusion,conclusion,summarization,automatic summarization,summarization,task,unigram,NN,false,task,both,5,8,summarization; text summarization,automatic summarization; summarization; text summarization,https://en.wikipedia.org/wiki/Automatic_summarization,Q1394144,pos=fallback
conclusion__sentence embeddings,conclusion,conclusion,sentence embeddings,Sentence Embedding,sentence embeddings,component,bigram,NN NN,false,core_method,both,5,7,sentence embeddings; sentence representation; text embedding,sentence embedding; sentence embeddings; sentence representation; text embedding,nan,Q140197859,pos=fallback
conclusion__sgd,conclusion,conclusion,sgd,stochastic gradient descent,sgd,other,unigram,NN,false,other,both,5,7,sgd; stochastic gradient descent,sgd; stochastic gradient descent,https://en.wikipedia.org/wiki/Stochastic_gradient_descent,Q7617819,pos=fallback
conclusion__gradient descent,conclusion,conclusion,gradient descent,gradient descent,gradient descent,method,bigram,JJ NN,false,core_method,both,5,6,gradient descent,gradient descent,https://en.wikipedia.org/wiki/Gradient_descent,Q1199743,pos=fallback
conclusion__deep learning models,conclusion,conclusion,deep learning models,deep learning model,deep learning models,other,trigram,JJ NN NN,false,other,both,5,5,deep learning model; deep learning models,deep learning model; deep learning models,nan,Q113364611,pos=fallback
conclusion__self-supervised learning,conclusion,conclusion,self-supervised learning,self-supervised learning,self-supervised learning,method,bigram,JJ NN,false,core_method,both,5,5,self-supervised learning,self-supervised learning,https://en.wikipedia.org/wiki/Self-supervised_learning,Q77562367,pos=fallback
conclusion__aggregation,conclusion,conclusion,aggregation,aggregation,aggregation,other,unigram,NN,false,other,both,4,7,aggregation,aggregation,https://en.wikipedia.org/wiki/Aggregation_%28linguistics%29,Q4692263,pos=fallback
conclusion__policy gradient,conclusion,conclusion,policy gradient,policy-gradient method,policy gradient,method,bigram,NN JJ,false,core_method,both,4,7,policy gradient; policy gradient methods,policy gradient; policy gradient methods; policy-gradient method,https://en.wikipedia.org/wiki/Policy_gradient_method,Q113840014,pos=fallback
conclusion__optimization methods,conclusion,conclusion,optimization methods,optimization method,optimization methods,method,bigram,NN NN,false,core_method,both,4,5,optimization method; optimization methods; optimization technique; optimization techniques,optimization method; optimization methods; optimization technique; optimization techniques,nan,Q112631979,pos=fallback
conclusion__roberta,conclusion,conclusion,roberta,RoBERTa,roberta,model,unigram,NN,false,core_method,both,4,5,roberta,roberta,nan,Q85124095,pos=fallback
conclusion__self-attention,conclusion,conclusion,self-attention,self-attention,self-attention,component,unigram,NN,false,core_method,initial_corpus,4,4,self-attention,self-attention,nan,Q113364820,pos=fallback
conclusion__semi-supervised learning,conclusion,conclusion,semi-supervised learning,semi-supervised learning,semi-supervised learning,method,bigram,JJ NN,false,core_method,initial_corpus,4,4,semi-supervised learning,semi-supervised learning,https://en.wikipedia.org/wiki/Semi-supervised_learning,Q1041418,pos=fallback
conclusion__GPT-2,conclusion,conclusion,GPT-2,GPT-2,GPT-2,model,unigram,CD,false,core_method,both,3,11,gpt-2,gpt-2,https://en.wikipedia.org/wiki/GPT-2,Q95726727,pos=fallback
conclusion__bleu,conclusion,conclusion,bleu,BLEU,bleu,metric,unigram,NN,false,metric,both,3,10,bleu,bleu,https://en.wikipedia.org/wiki/BLEU,Q3500773,pos=fallback
conclusion__neural machine translation,conclusion,conclusion,neural machine translation,neural machine translation,neural machine translation,task,trigram,JJ NN NN,false,task,initial_corpus,3,7,neural machine translation; nmt,neural machine translation; nmt,https://en.wikipedia.org/wiki/Neural_machine_translation,Q25053937,pos=fallback
conclusion__gnn,conclusion,conclusion,gnn,graph neural network,gnn,model,unigram,NN,false,core_method,round2_corpus,3,6,gnn,gnn; graph neural network,https://en.wikipedia.org/wiki/Graph_neural_network,Q107750691,pos=fallback
conclusion__nlu,conclusion,conclusion,nlu,natural language understanding,nlu,other,unigram,NN,false,other,both,3,6,natural language understanding; nlu,natural language understanding; nlu,https://en.wikipedia.org/wiki/Natural_language_understanding,Q1078276,pos=fallback
conclusion__speech synthesis,conclusion,conclusion,speech synthesis,speech synthesis,speech synthesis,other,bigram,NN NN,false,other,both,3,6,speech synthesis; tts,speech synthesis; tts,https://en.wikipedia.org/wiki/Speech_synthesis,Q16346,pos=fallback
conclusion__vision and language,conclusion,conclusion,vision and language,Vision and Language,vision and language,other,trigram,NN NN NN,false,other,round2_corpus,3,4,vision and language; vision-and-language,vision and language; vision-and-language,nan,Q111467776,pos=fallback
conclusion__GPT,conclusion,conclusion,GPT,generative pre-trained transformer,GPT,model,unigram,NN,false,core_method,both,3,3,gpt,generative pre-trained transformer; gpt,https://en.wikipedia.org/wiki/Generative_pre-trained_transformer,Q116777014,pos=fallback
conclusion__Word2Vec,conclusion,conclusion,Word2Vec,Word2Vec,Word2Vec,other,unigram,CD,false,other,initial_corpus,3,3,word2vec,word2vec,https://en.wikipedia.org/wiki/Word2vec,Q22673982,pos=fallback
conclusion__image segmentation,conclusion,conclusion,image segmentation,image segmentation,image segmentation,task,bigram,NN NN,false,task,initial_corpus,3,3,image segmentation,image segmentation,https://en.wikipedia.org/wiki/Image_segmentation,Q56933,pos=fallback
conclusion__GPT-4,conclusion,conclusion,GPT-4,GPT-4,GPT-4,model,unigram,CD,false,core_method,initial_corpus,2,22,gpt-4,gpt-4,https://en.wikipedia.org/wiki/GPT-4,Q116709136,pos=fallback
conclusion__YOLO,conclusion,conclusion,YOLO,You Only Look Once,YOLO,model,unigram,NN,false,core_method,initial_corpus,2,7,yolo,yolo; you only look once,https://en.wikipedia.org/wiki/You_Only_Look_Once,Q97732222,pos=fallback
conclusion__bart,conclusion,conclusion,bart,BART,bart,model,unigram,NN,false,core_method,initial_corpus,2,4,bart,bart,nan,Q108212505,pos=fallback
conclusion__ResNet,conclusion,conclusion,ResNet,residual neural network,ResNet,model,unigram,NN,false,core_method,initial_corpus,2,3,resnet,residual neural network; resnet,https://en.wikipedia.org/wiki/Residual_neural_network,Q43744058,pos=fallback
conclusion__ai models,conclusion,conclusion,ai models,artificial intelligence model,ai models,other,bigram,NN NN,false,other,initial_corpus,2,3,ai models,ai models; artificial intelligence model,nan,Q117349473,pos=fallback
conclusion__chatgpt,conclusion,conclusion,chatgpt,ChatGPT,chatgpt,other,unigram,NN,false,other,initial_corpus,2,3,chatgpt,chatgpt,https://en.wikipedia.org/wiki/ChatGPT,Q115564437,pos=fallback
conclusion__meta-learning,conclusion,conclusion,meta-learning,meta-learning,meta-learning,other,unigram,NN,false,other,initial_corpus,2,3,meta-learning,meta-learning,https://en.wikipedia.org/wiki/Meta-learning_%28computer_science%29,Q6822311,pos=fallback
conclusion__rlhf,conclusion,conclusion,rlhf,reinforcement learning from human feedback,rlhf,other,unigram,NN,false,other,initial_corpus,2,3,rlhf,reinforcement learning from human feedback; rlhf,https://en.wikipedia.org/wiki/Reinforcement_learning_from_human_feedback,Q115570683,pos=fallback
conclusion__wavenet,conclusion,conclusion,wavenet,Google Wavenet,wavenet,other,unigram,NN,false,other,round2_corpus,2,3,wavenet,google wavenet; wavenet,https://en.wikipedia.org/wiki/WaveNet,Q30315025,pos=fallback
conclusion__xgboost,conclusion,conclusion,xgboost,XGBoost,xgboost,other,unigram,NN,false,other,round2_corpus,2,3,xgboost,xgboost,https://en.wikipedia.org/wiki/XGBoost,Q23793561,pos=fallback
conclusion__GloVe,conclusion,conclusion,GloVe,GloVe,GloVe,other,unigram,NN,false,other,initial_corpus,2,2,glove,glove,https://en.wikipedia.org/wiki/GloVe,Q22826110,pos=fallback
conclusion__albert,conclusion,conclusion,albert,ALBERT,albert,model,unigram,NN,false,core_method,both,2,2,albert,albert,nan,Q107031872,pos=fallback
conclusion__image recognition,conclusion,conclusion,image recognition,image recognition,image recognition,other,bigram,NN NN,false,other,initial_corpus,2,2,image recognition,image recognition,https://en.wikipedia.org/wiki/Image_recognition,Q28038508,pos=fallback
conclusion__machine learning models,conclusion,conclusion,machine learning models,machine learning model,machine learning models,other,trigram,NN NN NN,false,other,round2_corpus,2,2,machine learning models,machine learning model; machine learning models,nan,Q115215420,pos=fallback
conclusion__multi-task learning,conclusion,conclusion,multi-task learning,multi-task learning,multi-task learning,other,bigram,NN NN,false,other,both,2,2,multi-task learning,multi-task learning,https://en.wikipedia.org/wiki/Multi-task_learning,Q6934509,pos=fallback
conclusion__neural network models,conclusion,conclusion,neural network models,neural network model,neural network models,other,trigram,JJ NN NN,false,other,initial_corpus,2,2,neural network models,neural network model; neural network models,nan,Q110404576,pos=fallback
conclusion__sentiment analysis,conclusion,conclusion,sentiment analysis,sentiment analysis,sentiment analysis,task,bigram,NN NN,false,task,initial_corpus,2,2,sentiment analysis,sentiment analysis,https://en.wikipedia.org/wiki/Sentiment_analysis,Q2271421,pos=fallback
conclusion__seq2seq,conclusion,conclusion,seq2seq,sequence-to-sequence learning,seq2seq,other,unigram,CD,false,other,round2_corpus,2,2,seq2seq,seq2seq; sequence-to-sequence learning,https://en.wikipedia.org/wiki/Seq2seq,Q41589189,pos=fallback
conclusion__shapes,conclusion,conclusion,shapes,"Shapes, Inc.",shapes,other,unigram,NN,false,other,initial_corpus,2,2,shapes,"shapes; shapes, inc.",nan,Q131682206,pos=fallback
conclusion__svm,conclusion,conclusion,svm,support vector machine,svm,other,unigram,NN,false,other,initial_corpus,2,2,svm,support vector machine; svm,https://en.wikipedia.org/wiki/Support_vector_machine,Q282453,pos=fallback
conclusion__visual question answering,conclusion,conclusion,visual question answering,visual question answering,visual question answering,task,trigram,JJ NN NN,false,task,both,2,2,visual question answering,visual question answering,nan,Q124169176,pos=fallback
experiments__training set,experiments,experiment,training set,training set,training set,dataset,bigram,NN NN,false,dataset,both,69,170,training data; training dataset; training set; training-set,training data; training dataset; training set; training-set,https://en.wikipedia.org/wiki/Training_set,Q3997298,pos=fallback
experiments__embeddings,experiments,experiment,embeddings,embedding,embeddings,component,unigram,NN,false,core_method,both,28,103,embedding; embeddings,embedding; embeddings,https://en.wikipedia.org/wiki/Embedding_%28machine_learning%29,Q133284072,pos=fallback
experiments__BERT,experiments,experiment,BERT,bidirectional encoder representations from transformers,BERT,model,unigram,NN,false,core_method,both,25,130,bert,bert; bidirectional encoder representations from transformers,https://en.wikipedia.org/wiki/BERT_%28language_model%29,Q61726893,pos=fallback
experiments__bias,experiments,experiment,bias,prediction bias,bias,component,unigram,NN,false,core_method,both,25,75,bias,bias; prediction bias,nan,Q139934379,pos=fallback
experiments__attention,experiments,experiment,attention,attention,attention,component,unigram,NN,false,core_method,both,22,97,attention; attention mechanism,attention; attention mechanism,https://en.wikipedia.org/wiki/Attention_%28machine_learning%29,Q103701642,pos=fallback
experiments__transformer,experiments,experiment,transformer,transformer,transformer,model,unigram,NN,false,core_method,both,22,82,transformer; transformer architecture; transformer model; transformers,transformer; transformer architecture; transformer model; transformers,https://en.wikipedia.org/wiki/Transformer_%28deep_learning%29,Q85810444,pos=fallback
experiments__question answering,experiments,experiment,question answering,question answering,question answering,task,bigram,NN NN,false,task,both,16,39,question answering; question-answering,question answering; question-answering,https://en.wikipedia.org/wiki/Question_answering,Q1074173,pos=fallback
experiments__segmentation,experiments,experiment,segmentation,speech segmentation,segmentation,task,unigram,NN,false,task,both,14,57,segmentation,segmentation; speech segmentation,https://en.wikipedia.org/wiki/Speech_segmentation,Q2266173,pos=fallback
experiments__sgd,experiments,experiment,sgd,stochastic gradient descent,sgd,method,unigram,NN,false,core_method,both,14,29,sgd; sgd optimizer; stochastic gradient descent,sgd; sgd optimizer; stochastic gradient descent,https://en.wikipedia.org/wiki/Stochastic_gradient_descent,Q7617819,pos=fallback
experiments__ResNet,experiments,experiment,ResNet,residual neural network,ResNet,model,unigram,NN,false,core_method,both,13,32,resnet,residual neural network; resnet,https://en.wikipedia.org/wiki/Residual_neural_network,Q43744058,pos=fallback
experiments__convolutional neural networks,experiments,experiment,convolutional neural networks,Convolutional neural network,convolutional neural networks,model,trigram,JJ JJ NN,false,core_method,both,13,31,cnn,cellular neural network; cnn; convolutional neural network; convolutional neural networks,https://en.wikipedia.org/wiki/Cellular_neural_network,Q5058375,pos=fallback
experiments__natural language processing,experiments,experiment,natural language processing,Natural language processing,natural language processing,other,trigram,JJ NN NN,false,other,both,13,28,natural language processing; nlp,natural language processing; nlp,https://en.wikipedia.org/wiki/Natural_language_processing,Q30642,pos=fallback
experiments__mrr,experiments,experiment,mrr,mean reciprocal rank,mrr,metric,unigram,NN,false,metric,both,11,30,mean reciprocal rank; mrr,mean reciprocal rank; mrr,https://en.wikipedia.org/wiki/Mean_reciprocal_rank,Q3853443,pos=fallback
experiments__end-to-end,experiments,experiment,end-to-end,end-to-end reinforcement learning,end-to-end,other,bigram,NN NN,false,other,both,11,13,deep rl; end-to end; end-to-end,deep rl; end-to end; end-to-end; end-to-end reinforcement learning,https://en.wikipedia.org/wiki/End-to-end_reinforcement_learning,Q30589144,pos=fallback
experiments__GPT-3,experiments,experiment,GPT-3,GPT-3,GPT-3,model,unigram,CD,false,core_method,both,10,53,gpt-3; gpt3,gpt-3; gpt3,https://en.wikipedia.org/wiki/GPT-3,Q95726734,pos=fallback
experiments__epoch,experiments,experiment,epoch,Epoch,epoch,method,unigram,NN,false,core_method,both,10,14,epoch; training epoch,epoch; epoch (machine learning); training epoch,nan,Q140192549,pos=fallback
experiments__learning algorithms,experiments,experiment,learning algorithms,machine learning algorithm,learning algorithms,method,bigram,NN NN,false,core_method,both,10,12,learning algorithm; learning algorithms,learning algorithm; learning algorithms; machine learning algorithm,https://en.wikipedia.org/wiki/Machine_learning_algorithm,Q110688486,pos=fallback
experiments__dqn,experiments,experiment,dqn,Deep Q-Network,dqn,model,unigram,NN,false,core_method,both,9,56,dqn,deep q-network; dqn,nan,Q20722857,pos=fallback
experiments__transfer learning,experiments,experiment,transfer learning,transfer learning,transfer learning,method,bigram,NN NN,false,core_method,both,9,20,transfer learning; transfer-learning,transfer learning; transfer-learning,https://en.wikipedia.org/wiki/Transfer_learning,Q6027324,pos=fallback
experiments__deep networks,experiments,experiment,deep networks,deep neural network,deep networks,model,bigram,JJ NN,false,core_method,both,9,13,deep networks; deep neural network; deep neural networks; dnn,deep networks; deep neural network; deep neural networks; dnn,https://en.wikipedia.org/wiki/Deep_neural_network,Q51289900,pos=fallback
experiments__bleu,experiments,experiment,bleu,BLEU,bleu,metric,unigram,NN,false,metric,both,8,48,bleu,bleu,https://en.wikipedia.org/wiki/BLEU,Q3500773,pos=fallback
experiments__roberta,experiments,experiment,roberta,RoBERTa,roberta,model,unigram,NN,false,core_method,both,8,39,roberta,roberta,nan,Q85124095,pos=fallback
experiments__summarization,experiments,experiment,summarization,automatic summarization,summarization,task,unigram,NN,false,task,both,8,34,summarization,automatic summarization; summarization,https://en.wikipedia.org/wiki/Automatic_summarization,Q1394144,pos=fallback
experiments__GPT,experiments,experiment,GPT,generative pre-trained transformer,GPT,model,unigram,NN,false,core_method,both,8,25,gpt,generative pre-trained transformer; gpt,https://en.wikipedia.org/wiki/Generative_pre-trained_transformer,Q116777014,pos=fallback
experiments__MLP,experiments,experiment,MLP,multilayer perceptron,MLP,model,unigram,NN,false,core_method,both,8,22,mlp; multi-layer perceptron,mlp; multi-layer perceptron; multilayer perceptron,https://en.wikipedia.org/wiki/Multilayer_perceptron,Q2991667,pos=fallback
experiments__bag-of-words,experiments,experiment,bag-of-words,bag-of-words model,bag-of-words,method,bigram,NN NN,false,core_method,both,8,17,bag-of-words; bow,bag-of-words; bag-of-words model; bow,https://en.wikipedia.org/wiki/Bag-of-words_model,Q3460803,pos=fallback
experiments__heuristic,experiments,experiment,heuristic,heuristic,heuristic,method,unigram,JJ,false,core_method,both,8,11,heuristic,heuristic,https://en.wikipedia.org/wiki/Heuristic_%28computer_science%29,Q1981968,pos=fallback
experiments__reinforcement learning,experiments,experiment,reinforcement learning,reinforcement learning,reinforcement learning,method,bigram,NN NN,false,core_method,both,8,10,reinforcement learning,reinforcement learning,https://en.wikipedia.org/wiki/Reinforcement_learning,Q830687,pos=fallback
experiments__gcn,experiments,experiment,gcn,graph convolutional network,gcn,model,unigram,NN,false,core_method,both,7,18,gcn; graph convolutional networks,gcn; graph convolutional network; graph convolutional networks,https://en.wikipedia.org/wiki/Graph_convolutional_network,Q54811238,pos=fallback
experiments__object detection,experiments,experiment,object detection,object detection,object detection,task,bigram,NN NN,false,task,initial_corpus,7,17,object detection,object detection,https://en.wikipedia.org/wiki/Object_detection,Q3045304,pos=fallback
experiments__machine learning,experiments,experiment,machine learning,machine learning,machine learning,other,bigram,NN NN,false,other,both,7,16,machine learning,machine learning,https://en.wikipedia.org/wiki/Machine_learning,Q2539,pos=fallback
experiments__self-attention,experiments,experiment,self-attention,self-attention,self-attention,component,unigram,NN,false,core_method,both,7,11,self-attention; self-attention mechanism,self-attention; self-attention mechanism,nan,Q113364820,pos=fallback
experiments__gradient descent,experiments,experiment,gradient descent,gradient descent,gradient descent,method,bigram,JJ NN,false,core_method,both,7,8,gradient descent,gradient descent,https://en.wikipedia.org/wiki/Gradient_descent,Q1199743,pos=fallback
experiments__speech recognition,experiments,experiment,speech recognition,speech recognition,speech recognition,task,bigram,NN NN,false,task,both,6,24,asr; automatic speech recognition; speech recognition,asr; automatic speech recognition; speech recognition,https://en.wikipedia.org/wiki/Speech_recognition,Q189436,pos=fallback
experiments__xlnet,experiments,experiment,xlnet,XLNet,xlnet,model,unigram,NN,false,core_method,both,6,20,xlnet,xlnet,nan,Q107031747,pos=fallback
experiments__sentiment analysis,experiments,experiment,sentiment analysis,sentiment analysis,sentiment analysis,task,bigram,NN NN,false,task,both,6,19,sentiment analysis; sentiment-analysis,sentiment analysis; sentiment-analysis,https://en.wikipedia.org/wiki/Sentiment_analysis,Q2271421,pos=fallback
experiments__policy gradient,experiments,experiment,policy gradient,policy-gradient method,policy gradient,method,bigram,NN JJ,false,core_method,both,6,12,policy gradient; policy-gradient,policy gradient; policy-gradient; policy-gradient method,https://en.wikipedia.org/wiki/Policy_gradient_method,Q113840014,pos=fallback
experiments__GPT-2,experiments,experiment,GPT-2,GPT-2,GPT-2,model,unigram,CD,false,core_method,both,6,9,gpt-2,gpt-2,https://en.wikipedia.org/wiki/GPT-2,Q95726727,pos=fallback
experiments__adam optimizer,experiments,experiment,adam optimizer,Adam optimizer,adam optimizer,method,bigram,NN NN,false,core_method,both,6,6,adam optimizer,adam optimizer,https://en.wikipedia.org/wiki/Adam_%28optimization_algorithm%29,Q29410287,pos=fallback
experiments__deep learning,experiments,experiment,deep learning,deep learning,deep learning,method,bigram,JJ NN,false,core_method,both,6,6,deep learning,deep learning,https://en.wikipedia.org/wiki/Deep_learning,Q197536,pos=fallback
experiments__sentence embeddings,experiments,experiment,sentence embeddings,Sentence Embedding,sentence embeddings,component,bigram,NN NN,false,core_method,both,5,32,sentence embedding; sentence embeddings; sentence representation; text embedding,sentence embedding; sentence embeddings; sentence representation; text embedding,nan,Q140197859,pos=fallback
experiments__supervised fine-tuning,experiments,experiment,supervised fine-tuning,supervised fine-tuning,supervised fine-tuning,method,bigram,JJ NN,false,core_method,both,5,21,sft; supervised fine-tuning; supervised finetuning,sft; supervised fine-tuning; supervised finetuning,nan,Q118129371,pos=fallback
experiments__GloVe,experiments,experiment,GloVe,GloVe,GloVe,other,unigram,NN,false,other,both,5,18,glove,glove,https://en.wikipedia.org/wiki/GloVe,Q22826110,pos=fallback
experiments__few-shot learning,experiments,experiment,few-shot learning,few-shot learning,few-shot learning,other,bigram,NN NN,false,other,both,5,16,few-shot learning,few-shot learning,nan,Q110797734,pos=fallback
experiments__large language models,experiments,experiment,large language models,Large language model,large language models,model,trigram,JJ NN NN,false,core_method,both,5,9,large language models; llms,large language model; large language models; llms,https://en.wikipedia.org/wiki/Large_language_model,Q115305900,pos=fallback
